iteration no ,1, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,3.072136208
iteration no ,2, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,3.064003816
iteration no ,3, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,3.058284296
iteration no ,4, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,3.065945756
iteration no ,5, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,3.057820464
iteration no ,6, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,3.052107744
iteration no ,7, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,3.064690716
iteration no ,8, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,3.056555724
iteration no ,9, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,3.050841904
iteration no ,10, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,3.002688888
iteration no ,11, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,2.970811664
iteration no ,12, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,2.9655764639999997
iteration no ,13, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,2.996504136
iteration no ,14, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,2.964671712
iteration no ,15, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,2.959474712
iteration no ,16, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,2.9952596959999997
iteration no ,17, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,2.963427072
iteration no ,18, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,2.958238972
iteration no ,19, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,3.06807388
iteration no ,20, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,3.059939788
iteration no ,21, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,3.054225768
iteration no ,22, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,3.062706472
iteration no ,23, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,3.05456898
iteration no ,24, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,3.04885666
iteration no ,25, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,3.062374124
iteration no ,26, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,3.054239832
iteration no ,27, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,3.048525212
iteration no ,28, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,2.99865146
iteration no ,29, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,2.9667896359999997
iteration no ,30, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,2.961556236
iteration no ,31, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,2.993295152
iteration no ,32, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,2.961480828
iteration no ,33, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,2.956299028
iteration no ,34, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,2.992957004
iteration no ,35, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,2.9611430800000003
iteration no ,36, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,1,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,2.95596788
iteration no ,37, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,3.067962408
iteration no ,38, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,3.059826416
iteration no ,39, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,3.054107596
iteration no ,40, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,3.063447556
iteration no ,41, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,3.055309764
iteration no ,42, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,3.049598444
iteration no ,43, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,3.062702116
iteration no ,44, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,3.054565924
iteration no ,45, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,3.048855704
iteration no ,46, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,2.998688488
iteration no ,47, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,2.966914364
iteration no ,48, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,2.961705364
iteration no ,49, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,2.994210036
iteration no ,50, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,2.962441912
iteration no ,51, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,2.957269312
iteration no ,52, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,2.993484296
iteration no ,53, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,2.961712972
iteration no ,54, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,2.956545072
iteration no ,55, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,3.06489318
iteration no ,56, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,3.056755388
iteration no ,57, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,3.051037868
iteration no ,58, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,3.061668972
iteration no ,59, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,3.05353078
iteration no ,60, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,3.04781786
iteration no ,61, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,3.061265024
iteration no ,62, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,3.053126032
iteration no ,63, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,3.047416112
iteration no ,64, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,2.99555916
iteration no ,65, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,2.963773636
iteration no ,66, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,2.958564736
iteration no ,67, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,2.992417152
iteration no ,68, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,2.960629028
iteration no ,69, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,2.9554569280000003
iteration no ,70, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,2.9920457039999997
iteration no ,71, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,2.96025998
iteration no ,72, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,2,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,2.95509108
iteration no ,73, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,3.066918908
iteration no ,74, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,3.058782016
iteration no ,75, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,3.053071396
iteration no ,76, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,3.062790156
iteration no ,77, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,3.054653164
iteration no ,78, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,3.048942644
iteration no ,79, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,3.062150416
iteration no ,80, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,3.054013424
iteration no ,81, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,3.048302904
iteration no ,82, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,2.997744188
iteration no ,83, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,2.965952164
iteration no ,84, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,2.9607838639999997
iteration no ,85, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,2.993614736
iteration no ,86, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,2.961823312
iteration no ,87, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,2.956654812
iteration no ,88, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,2.992976096
iteration no ,89, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,2.9611836719999998
iteration no ,90, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,65536B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,2.956015372
iteration no ,91, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,3.06357078
iteration no ,92, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,3.055433688
iteration no ,93, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,3.049723168
iteration no ,94, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,3.061075672
iteration no ,95, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,3.05293868
iteration no ,96, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,3.04722806
iteration no ,97, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,3.060853924
iteration no ,98, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,3.052716832
iteration no ,99, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,8192B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,3.047006012
iteration no ,100, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,2.99439376
iteration no ,101, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,2.962603636
iteration no ,102, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,2.957435536
iteration no ,103, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,2.991898152
iteration no ,104, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,2.960107528
iteration no ,105, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,2.954939328
iteration no ,106, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,2.991679004
iteration no ,107, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,2.95988718
iteration no ,108, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,2.95471838
